"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000108819",3145.70003138646,0.146086149285302,0.235669262354977,0.619877822951981,0.535338227433567,0.713195690763034
"ENSG00000165669",730.836538808416,0.108731479884095,0.175431802926297,0.619793435798956,0.535393790889519,0.713231146649999
"ENSG00000197322",2.31431312589139,1.04849101292209,1.69221675499194,0.619596165697514,0.535523691767987,0.71336562282173
"ENSG00000273142",376.661788470979,-0.117914402544089,0.190335678133315,-0.619507617807205,0.535582005051383,0.713404728506214
"ENSG00000237101",627.681281114852,0.153480266223105,0.24785817596284,0.619226158777651,0.535767381361501,0.713571666749632
"ENSG00000278943",1.66017761825515,-0.890108597783005,1.43734412343681,-0.619273132487355,0.535736440995864,0.713571666749632
"ENSG00000285699",4.18431416440964,-0.576679144409918,0.931351313584569,-0.619185409413775,0.535794222640802,0.713571666749632
"ENSG00000145214",1247.95166997057,-0.169194796781313,0.273335872302476,-0.618999604245432,0.535916619599577,0.713696094977014
"ENSG00000228043",3.11336757497704,-0.575483433972268,0.929799637730855,-0.618932736279308,0.535960671527032,0.713716180985432
"ENSG00000104442",555.125541976481,-0.12511991217331,0.202196204422929,-0.618804455456541,0.536045186715728,0.713790145125684
"ENSG00000284430",3.51369781032665,0.581266286812032,0.939411129014013,0.618756015188065,0.536077102338073,0.713794064222186
"ENSG00000260361",21.2187899295163,0.294813388204773,0.476527172504716,0.61867067654333,0.536133331355156,0.713830354766374
"ENSG00000241048",1.82875655023373,-0.733844351481393,1.18651041169815,-0.618489601310037,0.536252650351821,0.713834913171043
"ENSG00000291179",16.0853296809678,0.26097614220654,0.421928106041159,0.618532253409735,0.536224543671911,0.713834913171043
"ENSG00000132640",791.418455396692,-0.15119962488155,0.244461906745145,-0.61849973639933,0.536245971511219,0.713834913171043
"ENSG00000100109",1335.66438169236,-0.0935532195828575,0.151260780503474,-0.618489599693085,0.536252651417367,0.713834913171043
"ENSG00000183508",186.047898603519,0.206214854822596,0.333609412580354,0.61813260371641,0.536487932017915,0.714024818573399
"ENSG00000010072",260.214611566643,-0.189055537931908,0.305838093166663,-0.618155625986345,0.536472757469478,0.714024818573399
"ENSG00000289060",2.76074957177334,0.721415026545548,1.16715458132028,0.6180972410094,0.536511240874732,0.714024818573399
"ENSG00000270001",7.99353911386169,-0.424947870585114,0.687424740710741,-0.618173663848282,0.536460868418711,0.714024818573399
"ENSG00000227799",21.3076196394643,0.268598114390762,0.434759714923783,0.617808194206423,0.536701781320853,0.714228122391855
"ENSG00000262227",22.0384590659992,-0.287613068566577,0.465560891215206,-0.617777553900306,0.536721981489743,0.714228122391855
"ENSG00000263235",10.6051761704306,0.387860526011747,0.627904041142487,0.617706688598508,0.53676870217008,0.714251715655645
"ENSG00000290875",3.58280491426949,-0.641705573893153,1.03893643145642,-0.617656243889324,0.53680196103412,0.714257394361505
"ENSG00000169239",519.597805970326,-0.125487999213024,0.203204202900539,-0.617546278186216,0.536874466468461,0.714315290294512
"ENSG00000158793",884.595546166396,0.108087330858177,0.175075671865306,0.617374931117411,0.536987453267491,0.714388101263982
"ENSG00000240891",43.9887395777436,-0.278125481556849,0.450591176297163,-0.617245734464686,0.537072653853066,0.714388101263982
"ENSG00000123965",15.5961636586608,-0.297875398186515,0.482615543292707,-0.617210536059866,0.537095867123713,0.714388101263982
"ENSG00000159761",94.4858025295589,0.211881722895861,0.343232959729644,0.61731170299832,0.537029149108433,0.714388101263982
"ENSG00000161654",101.424034366152,0.151124086295624,0.244854533102661,0.617199462802111,0.537103170017158,0.714388101263982
"ENSG00000289021",15.5503206092676,-0.249418237791003,0.4039780746328,-0.617405382749335,0.536967372491668,0.714388101263982
"ENSG00000272914",12.43372237419,0.306844082860724,0.497336373608689,0.616974947225865,0.537251250425151,0.714546483304061
"ENSG00000123977",6.85254720187709,0.486075840897519,0.787964617787616,0.616875212318903,0.537317037678781,0.714556831333915
"ENSG00000176153",388.080970697007,0.229266206801856,0.371656307159128,0.616876943524312,0.537315895704564,0.714556831333915
